번호	row	G	K
3.3	51	x	protocol TLS 미지원 (UnsupportedProtocol). supportedKinds=[]. TLSRoute parents 없음
3.4	52	x	protocol TLS 미지원 (UnsupportedProtocol). supportedKinds=[]. TLSRoute parents 없음
3.6	54	x	protocol TLS 미지원 (UnsupportedProtocol). supportedKinds=[]. TLSRoute parents 없음
3.7	55	x	BackendTLSPolicy status 없음. Pool :443에 plain HTTP→400. SAN/CA 미적용
3.8	56	x	BackendTLSPolicy status 없음. Pool :443에 plain HTTP→400. SAN/CA 미적용
3.9	57	x	BackendTLSPolicy status 없음. Pool :443에 plain HTTP→400. SAN/CA 미적용
3.11	59	x	header match Accepted=True 이나 metadata 무시. 모든 RPC가 첫 rule(canary). gRPC iRule 없음
3.12	60	x	HeaderModifier Accepted=True 이나 metadata 미적용. X-PoC-Add/Res-Add 없음. gRPC iRule 없음
3.13	61	x	RequestMirror Accepted=True 이나 tea 미러 0건. client는 coffee만. gRPC iRule 없음
3.15	63	x	unknown field spec.rules[0].sessionPersistence (CRD v1.6.1). GEP-1619 미포함
3.16	64	x	Unsupported route kinds for protocol TCP: [TCPRoute]. supportedKinds=[]. BNK는 L4Route
3.17	65	x	Unsupported route kinds for protocol TCP: [TCPRoute]. supportedKinds=[]. BNK는 L4Route
3.18	66	x	UDP Gateway no valid listeners. supportedKinds=[]. UDPRoute parents 없음. BNK는 L4Route
3.19	67	x	UDP Gateway no valid listeners. supportedKinds=[]. UDPRoute parents 없음. BNK는 L4Route
